only code,lab_att,lab_score,hm_score,lab_att,lab_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_att
56c666b5b273a50da5b07bd4fa032025,1,0,100,1,0,1,0,10,,0,10,,0,18,1,0,25,,0,100,,0,100,,0,0,,0,0,,0,0,,0,0,,1
587421ab7936060c3b29b1b0c8c00226,1,10,100,1,10,,0,100,,10,95,1,10,100,,10,100,1,0,100,1,0,100,,0,31,1,0,79,,0,68,,10,100,1,1
58ceb92a357e21bb107ce95f328512b6,1,10,100,1,10,1,10,95,,0,100,1,10,100,1,0,52,1,#N/A,100,1,#N/A,100,1,10,100,,0,79,1,10,55,,0,100,,1
590e8fc6864bd9a511c474e8baef6800,,0,100,,0,,0,5,,0,77.5,,0,64,,0,58,,0,100,,0,100,,0,0,,0,88,,0,80,,0,50,1,1
596f397cf110d3bba5e4da625bd63b38,1,10,100,1,10,1,0,100,,0,95,1,10,100,1,10,100,1,10,100,1,0,100,1,10,67,,0,16,1,0,25,1,10,100,1,1
5a6f98f950d1934daf89190f8d852ad7,1,0,100,,0,1,10,0,,0,57.5,,0,0,,0,0,,0,0,,0,95,1,0,0,,0,0,1,0,0,1,0,0,1,1
5b0efd9ee1338801c28fb27f61b6a3ef,1,0,100,,0,,0,100,,0,100,,0,82,,0,46,,0,100,,0,100,,0,90,,0,86,,0,65,,0,100,,1
5ba9a524a089c651a088b50cfd20deab,1,0,100,1,10,1,0,100,1,5,95,1,10,95,1,10,85,,0,100,1,10,,1,10,82,1,10,95,1,10,60,1,10,0,1,1
5d228c3a9c0acc0ebaea78c35735c97c,1,10,100,1,10,1,10,100,1,10,80,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,1
5d62d3f8c9aab4d1932722338676ecdb,1,10,100,1,10,1,10,100,1,10,95,1,10,95,1,10,100,1,10,100,1,10,100,1,10,100,1,0,80,1,10,50,,0,100,1,1
5e17c31c6efc3afb450c2b1e83fd3233,1,10,100,1,0,0,0,30,0,0,90,1,0,94,0,0,0,0,0,0,0,0,100,0,0,100,0,0,6,0,0,0,,0,80,0,1
5f5aef3f6e3201f68474e1c2511e1f7a,1,10,100,1,0,1,10,100,1,10,100,1,10,97,1,10,100,1,10,100,,10,100,1,10,56,1,0,100,1,10,15,1,10,100,1,1
5fd931778350158410e30fe23a831b67,0,0,100,0,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,#N/A,0,0,31,0,0,0,,0,75,0,1
607c713ccd424a9b4704c8d47780f0c5,1,10,100,1,10,,0,20,,0,100,,0,100,,0,87,,0,100,,0,0,,0,100,,0,75,1,0,50,,0,100,0,1
60aafd8292f894f4556fce5dc04a3b2b,1,10,100,1,10,1,10,100,1,10,100,1,10,100,1,10,70,1,10,100,1,10,100,1,10,100,1,10,85,1,10,65,1,10,100,1,1
618d148f4fb319d68c3748e5adc53ca9,1,10,100,1,10,1,0,95,,0,100,1,10,100,1,10,59,1,10,98,1,10,100,1,10,88,1,0,74,1,10,35,1,10,100,1,1
61af3b9306ecd0595474400b65ed4df1,1,10,100,,10,1,10,100,1,0,100,1,10,95,,0,92,1,10,100,1,10,100,,0,82,1,10,31,1,10,16,1,10,100,1,1
61b65e45e3be1ddb43d6f6009cc67415,1,10,90,1,10,1,10,100,1,10,100,1,10,100,1,10,100,,0,100,1,10,95,,0,89,,0,68,,0,65,,0,100,,1
64920965e20e7312b8e22b2a3ed5df7a,1,10,100,1,0,1,10,100,1,0,95,1,10,100,1,10,100,1,0,100,1,10,100,1,10,100,1,10,93,1,10,85,1,10,95,1,1
64fb56d5bca419588e11989f97d8ffdc,1,10,98,1,10,1,10,100,1,0,90,1,10,100,1,10,90,1,0,100,1,10,100,1,10,100,1,0,82,1,0,68,1,10,98,1,1
66302913e54f69e457a608cb219a74ea,1,10,100,1,10,1,0,100,1,0,95,1,10,100,1,10,100,1,0,100,1,10,100,1,10,100,1,0,70,1,0,65,1,10,100,1,1
672fb7f12035ee421cf651c9f10c9a9e,1,10,100,1,0,1,10,100,1,10,95,1,10,100,1,10,95,1,0,100,1,10,100,1,10,100,1,10,90,1,10,65,1,10,100,1,
673cd0c89a2c89876b6ad85f29e5bbe7,1,10,100,,0,1,0,100,1,0,100,,0,100,1,10,85,,0,100,1,10,100,,0,98,1,0,8,1,10,78,,0,100,1,
68a330a79c4d495a9028b382f3010eda,1,0,100,1,10,1,10,100,1,10,100,1,10,100,1,10,100,1,10,94,1,10,100,1,10,0,1,10,0,,0,0,1,10,100,1,1
6a1a545e956e1874e5f431cb1793e009,,0,100,1,0,1,0,100,,0,77.5,1,10,95,,0,100,,0,100,1,10,100,,0,95,,0,70,,0,95,,0,100,1,1
6b23e31208c7d752dc38eca21cd3777e,1,10,100,1,10,,10,100,,0,10,,10,95,,10,100,,0,37,,10,100,,10,#N/A,,0,54,1,0,49,1,10,96,1,1
